"","player","nationality","position","squad","age","value","height","foot","games","minutes","goals","assists","pens_made","cards_yellow","cards_red","passes.pct","clean.sheets","popularity","p2","p1","p0","rank"
"1057","Lautaro MartĂ­nez","ar ARG","FW","Inter",21,64000000,174,"0",35,2452,14,3,2,8,1,62.5,0,7.88,0,0,1,1
"1061","Matteo Politano","it ITA","FW","Inter",25,22000000,171,"0",11,259,0,0,0,0,0,68.3,0,11.45,0,0,1,1
"1063","Alexis SĂˇnchez","cl CHI","FW","Inter",30,16000000,168,"0",22,923,4,8,1,4,1,72.4,0,2.4,0,0,1,1
"1064","Stefano Sensi","it ITA","MF","Inter",23,24000000,168,"0",12,723,3,2,0,2,0,81.9,0,28.05,1,0,0,1
"1065","Milan Skriniar","sk SVK","DF","Inter",24,50000000,188,"0",32,2627,0,0,0,9,1,92.3,0,9.7,0,0,0,1
"1067","MatĂ­as Vecino","uy URU","MF","Inter",27,18000000,187,"0",20,1282,2,2,0,4,0,77.1,0,14.95,1,0,0,1
"1068","Stefan de Vrij","nl NED","DF","Inter",27,48000000,189,"0",34,2830,4,3,0,5,0,92.7,0,8.73,0,0,0,1
"1070","Rodrigo Bentancur","uy URU","MF","Juventus",22,40000000,187,"0",30,2196,0,7,0,9,0,87.4,0,4.2,1,0,0,1
"1071","Federico Bernardeschi","it ITA","MF","Juventus",25,28000000,183,"0",29,1571,1,1,0,6,0,81.9,0,2.23,1,0,0,1
"1072","Leonardo Bonucci","it ITA","DF","Juventus",32,20000000,190,"0",35,3082,3,0,0,10,0,87.6,0,1.3,0,0,0,1
"1074","Emre Can","de GER","MF","Juventus",25,26000000,186,"0",8,284,0,0,0,2,0,86.6,0,13.68,1,0,0,1
"1076","Douglas Costa","br BRA","FW","Juventus",28,24000000,172,"0",23,802,1,4,0,1,0,80,0,6.53,0,0,1,1
"1077","Juan Cuadrado","co COL","DF","Juventus",31,14000000,176,"0",33,2654,2,5,0,7,1,88.5,0,10.13,0,0,0,1
"1078","Danilo","br BRA","DF","Juventus",28,15000000,184,"0",22,1440,2,0,0,4,1,86.2,0,19.93,0,0,0,1
"1080","Merih Demiral","tr TUR","DF","Juventus",21,27000000,190,"0",6,418,1,1,0,1,0,94.8,0,10.23,0,0,0,1
"1081","Paulo Dybala","ar ARG","FW","Juventus",25,72000000,177,"0",33,2155,11,6,1,5,0,83.4,0,13.025,0,0,1,1
"1083","Gonzalo HiguaĂ­n","ar ARG","FW","Juventus",31,25000000,184,"0",32,1866,8,4,0,2,0,83.3,0,3.85,0,0,1,1
"1085","Matthijs de Ligt","nl NED","DF","Juventus",19,67000000,189,"0",29,2450,4,0,0,5,0,91.4,0,2.49,0,0,0,1
"1086","Blaise Matuidi","fr FRA","MF","Juventus",32,10000000,175,"0",35,2237,0,2,0,2,0,87,0,5.98,1,0,0,1
"1091","Miralem PjaniÄ‡","ba BIH","MF","Juventus",29,50000000,180,"0",30,2277,3,6,0,10,0,87.7,0,8.48,1,0,0,1
"1092","Adrien Rabiot","fr FRA","MF","Juventus",24,25000000,188,"0",28,1912,1,1,0,7,1,89.1,0,3.13,1,0,0,1
"1093","Aaron Ramsey","wal WAL","MF","Juventus",28,28000000,182,"1",24,1051,3,1,0,2,0,87,0,6.05,1,0,0,1
"1094","Cristiano Ronaldo","pt POR","FW","Juventus",34,60000000,187,"1",33,2917,31,5,12,3,0,84.3,0,3.2,0,0,1,1
"1095","Daniele Rugani","it ITA","DF","Juventus",25,12000000,190,"0",10,690,0,0,0,2,0,90.6,0,4.4,0,0,0,1
"1096","Alex Sandro","br BRA","DF","Juventus",28,35000000,181,"0",29,2385,1,3,0,4,0,86.1,0,9.75,0,0,0,1
"1097","Wojciech SzczÄ™sny","pl POL","GK","Juventus",29,35000000,196,"0",29,2591,0,0,0,1,0,86.2,11,7.9,0,1,0,1
"1128","Francesco Acerbi","it ITA","DF","Lazio",31,12000000,192,"0",36,3162,2,2,0,4,0,90,0,5.2,0,0,0,1
"1130","Luis Alberto","es ESP","MF","Lazio",26,50000000,182,"0",36,3113,6,15,1,5,0,79.2,0,7.83,1,0,0,1
"1137","JoaquĂ­n Correa","ar ARG","FW","Lazio",24,30000000,188,"0",30,2002,9,2,0,0,0,82.9,0,2.85,0,0,1,1
"1139","Luiz Felipe","br BRA","DF","Lazio",22,22000000,187,"0",26,2024,1,1,0,6,0,89.7,0,4.93,0,0,0,1
"1140","Ciro Immobile","it ITA","FW","Lazio",29,40000000,185,"0",37,3170,36,9,14,8,0,77,0,14.55,0,0,1,1
"1142","Manuel Lazzari","it ITA","DF","Lazio",25,14000000,174,"0",32,2548,0,3,0,6,0,79.2,0,8.9,0,0,0,1
"1148","Sergej MilinkoviÄ‡-SaviÄ‡","rs SRB","MF","Lazio",24,64000000,191,"0",37,3029,7,4,0,9,0,77.4,0,1.35,1,0,0,1
"1152","Thomas Strakosha","al ALB","GK","Lazio",24,20000000,193,"0",38,3420,0,0,0,2,0,77.9,11,7.5,0,1,0,1
